2026-09-01 14:23:40.510138: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-09-01 14:23:46.115915: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-09-01 14:23:48,781 features exist: D:\Quobo\data\features\features_6class.csv
2026-09-01 14:23:52,657 rep 0 A_random: qsvm=0.290 rbf=0.272 (3.2s)
2026-09-01 14:23:54,715 rep 0 B_pca: qsvm=0.377 rbf=0.405 (2.1s)
2026-09-01 14:23:57,188 rep 0 C_mi: qsvm=0.359 rbf=0.447 (2.5s)
2026-09-01 14:24:02,987 rep 0 D_qubo: qsvm=0.418 rbf=0.414 (5.8s)
2026-09-01 14:24:05,012 rep 1 A_random: qsvm=0.303 rbf=0.309 (2.0s)
2026-09-01 14:24:07,075 rep 1 B_pca: qsvm=0.342 rbf=0.388 (2.1s)
2026-09-01 14:24:09,415 rep 1 C_mi: qsvm=0.362 rbf=0.366 (2.3s)
2026-09-01 14:24:13,927 rep 1 D_qubo: qsvm=0.379 rbf=0.388 (4.5s)
2026-09-01 14:24:15,980 rep 2 A_random: qsvm=0.325 rbf=0.373 (2.0s)
2026-09-01 14:24:18,083 rep 2 B_pca: qsvm=0.359 rbf=0.390 (2.1s)
2026-09-01 14:24:20,498 rep 2 C_mi: qsvm=0.344 rbf=0.362 (2.4s)
2026-09-01 14:24:25,196 rep 2 D_qubo: qsvm=0.368 rbf=0.425 (4.7s)
2026-09-01 14:24:27,467 rep 3 A_random: qsvm=0.290 rbf=0.303 (2.3s)
2026-09-01 14:24:30,658 rep 3 B_pca: qsvm=0.394 rbf=0.423 (3.2s)
2026-09-01 14:24:33,463 rep 3 C_mi: qsvm=0.379 rbf=0.414 (2.8s)
2026-09-01 14:24:38,872 rep 3 D_qubo: qsvm=0.440 rbf=0.442 (5.4s)
2026-09-01 14:24:41,140 rep 4 A_random: qsvm=0.312 rbf=0.342 (2.3s)
2026-09-01 14:24:43,315 rep 4 B_pca: qsvm=0.392 rbf=0.414 (2.2s)
2026-09-01 14:24:45,830 rep 4 C_mi: qsvm=0.349 rbf=0.355 (2.5s)
2026-09-01 14:24:51,314 rep 4 D_qubo: qsvm=0.425 rbf=0.399 (5.5s)
2026-09-01 14:24:54,409 rep 5 A_random: qsvm=0.314 rbf=0.305 (3.1s)
2026-09-01 14:24:57,579 rep 5 B_pca: qsvm=0.410 rbf=0.392 (3.2s)
2026-09-01 14:25:01,165 rep 5 C_mi: qsvm=0.392 rbf=0.388 (3.6s)
2026-09-01 14:25:05,898 rep 5 D_qubo: qsvm=0.436 rbf=0.434 (4.7s)
2026-09-01 14:25:09,624 rep 6 A_random: qsvm=0.338 rbf=0.342 (3.7s)
2026-09-01 14:25:12,786 rep 6 B_pca: qsvm=0.362 rbf=0.375 (3.2s)
2026-09-01 14:25:15,323 rep 6 C_mi: qsvm=0.346 rbf=0.381 (2.5s)
2026-09-01 14:25:20,761 rep 6 D_qubo: qsvm=0.390 rbf=0.427 (5.4s)
2026-09-01 14:25:22,847 rep 7 A_random: qsvm=0.322 rbf=0.318 (2.1s)
2026-09-01 14:25:25,626 rep 7 B_pca: qsvm=0.381 rbf=0.416 (2.8s)
2026-09-01 14:25:28,541 rep 7 C_mi: qsvm=0.344 rbf=0.366 (2.9s)
2026-09-01 14:25:33,658 rep 7 D_qubo: qsvm=0.407 rbf=0.405 (5.1s)
2026-09-01 14:25:35,738 rep 8 A_random: qsvm=0.288 rbf=0.288 (2.1s)
2026-09-01 14:25:37,899 rep 8 B_pca: qsvm=0.355 rbf=0.420 (2.2s)
2026-09-01 14:25:40,410 rep 8 C_mi: qsvm=0.381 rbf=0.423 (2.5s)
2026-09-01 14:25:45,102 rep 8 D_qubo: qsvm=0.401 rbf=0.460 (4.7s)
2026-09-01 14:25:47,229 rep 9 A_random: qsvm=0.301 rbf=0.312 (2.1s)
2026-09-01 14:25:49,768 rep 9 B_pca: qsvm=0.370 rbf=0.407 (2.5s)
2026-09-01 14:25:52,195 rep 9 C_mi: qsvm=0.377 rbf=0.423 (2.4s)
2026-09-01 14:25:57,787 rep 9 D_qubo: qsvm=0.425 rbf=0.455 (5.6s)
2026-09-01 14:26:00,466 rep 10 A_random: qsvm=0.288 rbf=0.366 (2.7s)
2026-09-01 14:26:02,657 rep 10 B_pca: qsvm=0.386 rbf=0.407 (2.2s)
2026-09-01 14:26:05,450 rep 10 C_mi: qsvm=0.425 rbf=0.420 (2.8s)
2026-09-01 14:26:11,626 rep 10 D_qubo: qsvm=0.427 rbf=0.468 (6.2s)
2026-09-01 14:26:14,096 rep 11 A_random: qsvm=0.340 rbf=0.303 (2.5s)
2026-09-01 14:26:16,483 rep 11 B_pca: qsvm=0.416 rbf=0.420 (2.4s)
2026-09-01 14:26:19,040 rep 11 C_mi: qsvm=0.390 rbf=0.405 (2.6s)
2026-09-01 14:26:24,993 rep 11 D_qubo: qsvm=0.416 rbf=0.399 (6.0s)
2026-09-01 14:26:27,182 rep 12 A_random: qsvm=0.316 rbf=0.305 (2.2s)
2026-09-01 14:26:29,575 rep 12 B_pca: qsvm=0.370 rbf=0.377 (2.4s)
2026-09-01 14:26:32,027 rep 12 C_mi: qsvm=0.355 rbf=0.368 (2.4s)
2026-09-01 14:26:37,927 rep 12 D_qubo: qsvm=0.392 rbf=0.381 (5.9s)
2026-09-01 14:26:41,244 rep 13 A_random: qsvm=0.325 rbf=0.288 (3.3s)
2026-09-01 14:26:43,831 rep 13 B_pca: qsvm=0.379 rbf=0.418 (2.6s)
2026-09-01 14:26:46,279 rep 13 C_mi: qsvm=0.401 rbf=0.436 (2.4s)
2026-09-01 14:26:51,640 rep 13 D_qubo: qsvm=0.420 rbf=0.455 (5.4s)
2026-09-01 14:26:53,729 rep 14 A_random: qsvm=0.314 rbf=0.346 (2.1s)
2026-09-01 14:26:55,833 rep 14 B_pca: qsvm=0.370 rbf=0.434 (2.1s)
2026-09-01 14:26:58,236 rep 14 C_mi: qsvm=0.379 rbf=0.403 (2.4s)
2026-09-01 14:27:03,305 rep 14 D_qubo: qsvm=0.394 rbf=0.431 (5.1s)
2026-09-01 14:27:05,347 rep 15 A_random: qsvm=0.327 rbf=0.309 (2.0s)
2026-09-01 14:27:07,397 rep 15 B_pca: qsvm=0.390 rbf=0.440 (2.0s)
2026-09-01 14:27:09,758 rep 15 C_mi: qsvm=0.366 rbf=0.379 (2.4s)
2026-09-01 14:27:14,576 rep 15 D_qubo: qsvm=0.420 rbf=0.447 (4.8s)
2026-09-01 14:27:16,626 rep 16 A_random: qsvm=0.294 rbf=0.301 (2.0s)
2026-09-01 14:27:18,705 rep 16 B_pca: qsvm=0.370 rbf=0.381 (2.1s)
2026-09-01 14:27:20,948 rep 16 C_mi: qsvm=0.349 rbf=0.370 (2.2s)
